
participant,condition,block,input,stimulus,timestamp,xmousex,ymousey,region,triggered
m,1,2,mouse,fish,1448161828956,200,440,2,0
m,1,2,mouse,fish,1448161829055,200,440,2,0
m,1,2,mouse,fish,1448161829156,447,345,-1,0
m,1,2,mouse,fish,1448161829255,506,318,-1,0
m,1,2,mouse,fish,1448161829355,648,277,-1,0
m,1,2,mouse,fish,1448161829456,875,270,-1,0
m,1,2,mouse,fish,1448161829555,953,265,7,1
m,1,2,mouse,fish,1448161829655,957,264,7,0
m,1,2,mouse,fish,1448161829755,959,266,7,0
m,1,2,mouse,fish,1448161829856,965,264,7,0
m,1,2,mouse,fish,1448161829956,968,262,7,0
m,1,2,mouse,fish,1448161830055,973,262,7,0
m,1,2,mouse,fish,1448161830155,1024,257,7,0
m,1,2,mouse,fish,1448161830256,937,262,7,0
m,1,2,mouse,fish,1448161830356,629,280,4,1
m,1,2,mouse,fish,1448161830455,623,277,4,0
m,1,2,mouse,fish,1448161830556,621,345,-1,0
m,1,2,mouse,fish,1448161830656,621,345,-1,0
m,1,2,mouse,fish,1448161830755,591,267,4,1
m,1,2,mouse,fish,1448161830856,474,269,-1,0
m,1,2,mouse,fish,1448161830955,212,284,1,1
m,1,2,mouse,fish,1448161831056,211,281,1,0
m,1,2,mouse,fish,1448161831156,209,284,1,0
m,1,2,mouse,fish,1448161831255,200,277,1,0
m,1,2,mouse,fish,1448161831356,193,268,1,0
m,1,2,mouse,fish,1448161831456,191,266,1,0
m,1,2,mouse,fish,1448161831555,225,84,0,1
m,1,2,mouse,fish,1448161831656,225,82,0,0
m,1,2,mouse,fish,1448161831756,228,84,0,0
m,1,2,mouse,fish,1448161831856,226,85,0,0
m,1,2,mouse,fish,1448161831956,228,85,0,0
m,1,2,mouse,fish,1448161832057,230,86,0,0
m,1,2,mouse,fish,1448161832157,232,85,0,0
m,1,2,mouse,fish,1448161832257,624,100,3,1
m,1,2,mouse,fish,1448161832357,625,100,3,0
m,1,2,mouse,fish,1448161832457,630,92,3,0
m,1,2,mouse,fish,1448161832557,729,84,-1,0
m,1,2,mouse,fish,1448161832657,911,84,-1,0
m,1,2,mouse,fish,1448161832757,920,84,6,1
m,1,2,mouse,fish,1448161832857,1001,94,6,0
m,1,2,mouse,fish,1448161832957,992,93,6,0
m,1,2,mouse,fish,1448161833058,989,91,6,0
m,1,2,mouse,fish,1448161833158,989,94,6,0
m,1,2,mouse,fish,1448161833258,987,95,6,0
m,1,2,mouse,fish,1448161833358,985,97,6,0
m,1,2,mouse,fish,1448161833458,1001,198,-1,0
m,1,2,mouse,fish,1448161833558,988,268,7,1
m,1,2,mouse,fish,1448161833658,996,276,7,0
m,1,2,mouse,fish,1448161833758,983,273,7,0
m,1,2,mouse,fish,1448161833858,709,292,-1,0
m,1,2,mouse,fish,1448161833958,710,288,-1,0
m,1,2,mouse,fish,1448161834059,704,288,-1,0
m,1,2,mouse,fish,1448161834159,629,292,4,1
m,1,2,mouse,fish,1448161834260,630,287,4,0
m,1,2,mouse,fish,1448161834360,629,284,4,0
m,1,2,mouse,fish,1448161834460,629,281,4,0
m,1,2,mouse,fish,1448161834560,628,281,4,0
m,1,2,mouse,fish,1448161834660,630,281,4,0
m,1,2,mouse,fish,1448161834760,631,281,4,0
m,1,2,mouse,fish,1448161834860,261,278,-1,0
m,1,2,mouse,fish,1448161834960,261,279,-1,0
m,1,2,mouse,fish,1448161835061,261,278,-1,0
m,1,2,mouse,fish,1448161835160,245,282,1,1
m,1,2,mouse,fish,1448161835262,234,284,1,0
m,1,2,mouse,fish,1448161835361,234,285,1,0
m,1,2,mouse,fish,1448161835462,233,286,1,0
