
participant,condition,block,input,stimulus,timestamp,xmousex,ymousey,region,triggered
m,1,4,mouse,viruses,1448161982289,586,225,4,0
m,1,4,mouse,viruses,1448161982390,589,222,4,0
m,1,4,mouse,viruses,1448161982489,594,180,-1,0
m,1,4,mouse,viruses,1448161982591,600,179,-1,0
m,1,4,mouse,viruses,1448161982690,594,65,3,1
m,1,4,mouse,viruses,1448161982791,593,70,3,0
m,1,4,mouse,viruses,1448161982890,780,120,-1,0
m,1,4,mouse,viruses,1448161982992,998,276,7,1
m,1,4,mouse,viruses,1448161983092,1001,277,7,0
m,1,4,mouse,viruses,1448161983192,991,265,7,0
m,1,4,mouse,viruses,1448161983292,992,253,7,0
m,1,4,mouse,viruses,1448161983391,993,248,7,0
m,1,4,mouse,viruses,1448161983492,992,241,7,0
m,1,4,mouse,viruses,1448161983591,990,233,7,0
m,1,4,mouse,viruses,1448161983692,985,228,7,0
m,1,4,mouse,viruses,1448161983792,983,222,7,0
m,1,4,mouse,viruses,1448161983892,621,417,5,1
m,1,4,mouse,viruses,1448161983992,609,418,5,0
m,1,4,mouse,viruses,1448161984092,177,455,2,1
m,1,4,mouse,viruses,1448161984192,185,456,2,0
m,1,4,mouse,viruses,1448161984293,184,456,2,0
m,1,4,mouse,viruses,1448161984393,179,444,2,0
m,1,4,mouse,viruses,1448161984493,179,436,2,0
m,1,4,mouse,viruses,1448161984593,178,433,2,0
m,1,4,mouse,viruses,1448161984693,144,348,-1,0
m,1,4,mouse,viruses,1448161984794,164,392,2,1
m,1,4,mouse,viruses,1448161984894,183,418,2,0
m,1,4,mouse,viruses,1448161984994,374,429,-1,0
m,1,4,mouse,viruses,1448161985094,585,416,5,1
m,1,4,mouse,viruses,1448161985194,586,423,5,0
m,1,4,mouse,viruses,1448161985294,583,426,5,0
m,1,4,mouse,viruses,1448161985394,586,419,5,0
m,1,4,mouse,viruses,1448161985494,584,413,5,0
m,1,4,mouse,viruses,1448161985594,583,408,5,0
m,1,4,mouse,viruses,1448161985694,582,405,5,0
m,1,4,mouse,viruses,1448161985794,580,401,5,0
m,1,4,mouse,viruses,1448161985894,580,395,5,0
m,1,4,mouse,viruses,1448161985995,580,390,5,0
m,1,4,mouse,viruses,1448161986094,581,388,5,0
m,1,4,mouse,viruses,1448161986194,583,392,5,0
m,1,4,mouse,viruses,1448161986294,585,394,5,0
m,1,4,mouse,viruses,1448161986394,583,441,5,0
m,1,4,mouse,viruses,1448161986494,582,443,5,0
m,1,4,mouse,viruses,1448161986594,581,442,5,0
m,1,4,mouse,viruses,1448161986694,577,444,5,0
m,1,4,mouse,viruses,1448161986794,576,443,5,0
m,1,4,mouse,viruses,1448161986895,685,415,-1,0
m,1,4,mouse,viruses,1448161986994,680,425,-1,0
m,1,4,mouse,viruses,1448161987095,980,417,8,1
m,1,4,mouse,viruses,1448161987195,989,418,8,0
m,1,4,mouse,viruses,1448161987295,985,420,8,0
m,1,4,mouse,viruses,1448161987395,986,418,8,0
m,1,4,mouse,viruses,1448161987495,985,416,8,0
m,1,4,mouse,viruses,1448161987595,986,413,8,0
m,1,4,mouse,viruses,1448161987695,988,412,8,0
m,1,4,mouse,viruses,1448161987796,989,410,8,0
m,1,4,mouse,viruses,1448161987896,987,286,7,1
m,1,4,mouse,viruses,1448161987996,988,281,7,0
m,1,4,mouse,viruses,1448161988096,988,268,7,0
m,1,4,mouse,viruses,1448161988196,986,264,7,0
m,1,4,mouse,viruses,1448161988296,986,258,7,0
m,1,4,mouse,viruses,1448161988396,989,181,-1,0
m,1,4,mouse,viruses,1448161988496,988,183,-1,0
m,1,4,mouse,viruses,1448161988597,1009,52,6,1
m,1,4,mouse,viruses,1448161988696,1013,53,6,0
m,1,4,mouse,viruses,1448161988796,1013,53,6,0
m,1,4,mouse,viruses,1448161988896,1013,54,6,0
m,1,4,mouse,viruses,1448161988996,1013,53,6,0
m,1,4,mouse,viruses,1448161989096,1012,53,6,0
m,1,4,mouse,viruses,1448161989197,609,70,3,1
m,1,4,mouse,viruses,1448161989296,603,75,3,0
m,1,4,mouse,viruses,1448161989396,596,69,3,0
m,1,4,mouse,viruses,1448161989496,596,68,3,0
m,1,4,mouse,viruses,1448161989596,596,69,3,0
m,1,4,mouse,viruses,1448161989697,394,53,-1,0
m,1,4,mouse,viruses,1448161989796,393,56,-1,0
m,1,4,mouse,viruses,1448161989897,356,60,-1,0
m,1,4,mouse,viruses,1448161989996,204,61,0,1
m,1,4,mouse,viruses,1448161990096,205,64,0,0
m,1,4,mouse,viruses,1448161990196,194,61,0,0
m,1,4,mouse,viruses,1448161990296,188,59,0,0
m,1,4,mouse,viruses,1448161990397,180,56,0,0
m,1,4,mouse,viruses,1448161990496,176,53,0,0
m,1,4,mouse,viruses,1448161990597,172,52,0,0
m,1,4,mouse,viruses,1448161990697,168,51,0,0
m,1,4,mouse,viruses,1448161990797,161,50,0,0
m,1,4,mouse,viruses,1448161990897,161,48,0,0
m,1,4,mouse,viruses,1448161990996,163,47,0,0
m,1,4,mouse,viruses,1448161991097,217,234,1,1
m,1,4,mouse,viruses,1448161991196,212,242,1,0
m,1,4,mouse,viruses,1448161991296,214,246,1,0
m,1,4,mouse,viruses,1448161991397,213,249,1,0
m,1,4,mouse,viruses,1448161991496,214,252,1,0
m,1,4,mouse,viruses,1448161991596,212,254,1,0
m,1,4,mouse,viruses,1448161991697,216,253,1,0
m,1,4,mouse,viruses,1448161991797,218,253,1,0
m,1,4,mouse,viruses,1448161991898,221,251,1,0
m,1,4,mouse,viruses,1448161991997,224,250,1,0
m,1,4,mouse,viruses,1448161992097,582,258,4,1
m,1,4,mouse,viruses,1448161992198,586,257,4,0
m,1,4,mouse,viruses,1448161992297,589,257,4,0
m,1,4,mouse,viruses,1448161992397,589,252,4,0
m,1,4,mouse,viruses,1448161992497,590,248,4,0
m,1,4,mouse,viruses,1448161992597,590,246,4,0
m,1,4,mouse,viruses,1448161992699,592,244,4,0
m,1,4,mouse,viruses,1448161992798,592,242,4,0
m,1,4,mouse,viruses,1448161992898,592,239,4,0
m,1,4,mouse,viruses,1448161992998,596,238,4,0
m,1,4,mouse,viruses,1448161993098,599,239,4,0
m,1,4,mouse,viruses,1448161993199,600,240,4,0
m,1,4,mouse,viruses,1448161993299,598,242,4,0
m,1,4,mouse,viruses,1448161993399,592,248,4,0
m,1,4,mouse,viruses,1448161993499,980,237,7,1
m,1,4,mouse,viruses,1448161993599,976,240,7,0
m,1,4,mouse,viruses,1448161993699,977,240,7,0
m,1,4,mouse,viruses,1448161993799,977,237,7,0
m,1,4,mouse,viruses,1448161993899,982,233,7,0
m,1,4,mouse,viruses,1448161994000,989,233,7,0
m,1,4,mouse,viruses,1448161994100,993,230,7,0
m,1,4,mouse,viruses,1448161994199,996,228,7,0
m,1,4,mouse,viruses,1448161994300,1000,226,7,0
m,1,4,mouse,viruses,1448161994400,1002,225,7,0
m,1,4,mouse,viruses,1448161994500,1005,224,7,0
m,1,4,mouse,viruses,1448161994600,909,240,-1,0
m,1,4,mouse,viruses,1448161994700,270,416,-1,0
m,1,4,mouse,viruses,1448161994800,209,436,2,1
m,1,4,mouse,viruses,1448161994900,209,438,2,0
m,1,4,mouse,viruses,1448161995000,205,437,2,0
m,1,4,mouse,viruses,1448161995100,199,433,2,0
m,1,4,mouse,viruses,1448161995200,194,430,2,0
m,1,4,mouse,viruses,1448161995300,189,428,2,0
m,1,4,mouse,viruses,1448161995400,186,427,2,0
m,1,4,mouse,viruses,1448161995500,184,425,2,0
m,1,4,mouse,viruses,1448161995600,182,425,2,0
m,1,4,mouse,viruses,1448161995700,181,425,2,0
m,1,4,mouse,viruses,1448161995800,178,425,2,0
m,1,4,mouse,viruses,1448161995900,178,425,2,0
m,1,4,mouse,viruses,1448161996000,177,425,2,0
m,1,4,mouse,viruses,1448161996101,177,426,2,0
m,1,4,mouse,viruses,1448161996201,242,436,2,0
m,1,4,mouse,viruses,1448161996302,464,430,-1,0
m,1,4,mouse,viruses,1448161996401,558,413,5,1
m,1,4,mouse,viruses,1448161996502,552,421,5,0
m,1,4,mouse,viruses,1448161996602,557,417,5,0
m,1,4,mouse,viruses,1448161996702,569,414,5,0
m,1,4,mouse,viruses,1448161996802,575,410,5,0
m,1,4,mouse,viruses,1448161996903,578,408,5,0
m,1,4,mouse,viruses,1448161997002,581,406,5,0
m,1,4,mouse,viruses,1448161997102,584,405,5,0
m,1,4,mouse,viruses,1448161997202,584,402,5,0
m,1,4,mouse,viruses,1448161997302,585,401,5,0
m,1,4,mouse,viruses,1448161997402,586,401,5,0
m,1,4,mouse,viruses,1448161997502,586,400,5,0
m,1,4,mouse,viruses,1448161997602,586,399,5,0
m,1,4,mouse,viruses,1448161997703,586,398,5,0
m,1,4,mouse,viruses,1448161997802,586,398,5,0
m,1,4,mouse,viruses,1448161997902,588,398,5,0
m,1,4,mouse,viruses,1448161998003,992,399,8,1
m,1,4,mouse,viruses,1448161998102,997,410,8,0
m,1,4,mouse,viruses,1448161998202,1001,410,8,0
m,1,4,mouse,viruses,1448161998303,1001,409,8,0
m,1,4,mouse,viruses,1448161998402,1001,406,8,0
m,1,4,mouse,viruses,1448161998502,1001,404,8,0
m,1,4,mouse,viruses,1448161998602,1003,402,8,0
m,1,4,mouse,viruses,1448161998703,1004,400,8,0
m,1,4,mouse,viruses,1448161998803,1006,398,8,0
m,1,4,mouse,viruses,1448161998903,1008,395,8,0
m,1,4,mouse,viruses,1448161999003,1010,392,8,0
m,1,4,mouse,viruses,1448161999103,1014,388,-1,0
m,1,4,mouse,viruses,1448161999203,1017,385,-1,0
m,1,4,mouse,viruses,1448161999304,1019,456,8,1
m,1,4,mouse,viruses,1448161999403,1019,456,8,0
m,1,4,mouse,viruses,1448161999503,1019,456,8,0
m,1,4,mouse,viruses,1448161999604,1011,370,-1,0
