
participant,condition,block,input,stimulus,timestamp,xmousex,ymousey,region,triggered
m,1,3,gaze,mushrooms,1448161879053,195,63,0,1
m,1,3,gaze,mushrooms,1448161879154,188,61,0,0
m,1,3,gaze,mushrooms,1448161879253,184,57,0,0
m,1,3,gaze,mushrooms,1448161879354,180,56,0,0
m,1,3,gaze,mushrooms,1448161879454,176,51,0,0
m,1,3,gaze,mushrooms,1448161879554,174,46,0,0
m,1,3,gaze,mushrooms,1448161879653,174,41,0,0
m,1,3,gaze,mushrooms,1448161879754,172,37,0,0
m,1,3,gaze,mushrooms,1448161879854,172,37,0,0
m,1,3,gaze,mushrooms,1448161879954,171,37,0,0
m,1,3,gaze,mushrooms,1448161880054,170,36,0,0
m,1,3,gaze,mushrooms,1448161880153,184,147,-1,0
m,1,3,gaze,mushrooms,1448161880254,208,240,1,1
m,1,3,gaze,mushrooms,1448161880354,209,248,1,0
m,1,3,gaze,mushrooms,1448161880454,195,243,1,0
m,1,3,gaze,mushrooms,1448161880554,182,251,1,0
m,1,3,gaze,mushrooms,1448161880655,173,255,1,0
m,1,3,gaze,mushrooms,1448161880754,171,258,1,0
m,1,3,gaze,mushrooms,1448161880854,169,257,1,0
m,1,3,gaze,mushrooms,1448161880955,168,256,1,0
m,1,3,gaze,mushrooms,1448161881054,167,257,1,0
m,1,3,gaze,mushrooms,1448161881155,166,258,1,0
m,1,3,gaze,mushrooms,1448161881255,164,261,1,0
m,1,3,gaze,mushrooms,1448161881354,165,260,1,0
m,1,3,gaze,mushrooms,1448161881455,164,260,1,0
m,1,3,gaze,mushrooms,1448161881555,164,384,-1,0
m,1,3,gaze,mushrooms,1448161881655,170,387,2,1
m,1,3,gaze,mushrooms,1448161881755,170,388,2,0
m,1,3,gaze,mushrooms,1448161881855,171,388,2,0
m,1,3,gaze,mushrooms,1448161881954,170,387,2,0
m,1,3,gaze,mushrooms,1448161882054,172,386,2,0
m,1,3,gaze,mushrooms,1448161882155,179,385,2,0
m,1,3,gaze,mushrooms,1448161882255,185,384,2,0
m,1,3,gaze,mushrooms,1448161882355,190,383,2,0
m,1,3,gaze,mushrooms,1448161882455,194,382,2,0
m,1,3,gaze,mushrooms,1448161882555,557,401,5,1
m,1,3,gaze,mushrooms,1448161882655,557,404,5,0
m,1,3,gaze,mushrooms,1448161882755,560,413,5,0
m,1,3,gaze,mushrooms,1448161882855,562,412,5,0
m,1,3,gaze,mushrooms,1448161882955,565,410,5,0
m,1,3,gaze,mushrooms,1448161883055,568,409,5,0
m,1,3,gaze,mushrooms,1448161883155,570,407,5,0
m,1,3,gaze,mushrooms,1448161883255,573,402,5,0
m,1,3,gaze,mushrooms,1448161883356,574,400,5,0
m,1,3,gaze,mushrooms,1448161883455,576,397,5,0
m,1,3,gaze,mushrooms,1448161883555,575,394,5,0
m,1,3,gaze,mushrooms,1448161883656,596,238,4,1
m,1,3,gaze,mushrooms,1448161883755,592,254,4,0
m,1,3,gaze,mushrooms,1448161883856,590,261,4,0
m,1,3,gaze,mushrooms,1448161883955,585,209,4,0
m,1,3,gaze,mushrooms,1448161884055,581,218,4,0
m,1,3,gaze,mushrooms,1448161884156,582,221,4,0
m,1,3,gaze,mushrooms,1448161884255,584,222,4,0
m,1,3,gaze,mushrooms,1448161884355,585,222,4,0
m,1,3,gaze,mushrooms,1448161884456,584,224,4,0
m,1,3,gaze,mushrooms,1448161884555,584,224,4,0
m,1,3,gaze,mushrooms,1448161884656,585,223,4,0
